      Date   Data Minimum    10%    30%   Mean    70%    90% Maximum
2009-05-07 280.05  263.46 269.31 275.62 280.21 283.62 292.09  303.86
2009-05-08 278.48  260.72 269.25 275.67 279.80 282.70 293.20  297.89
2009-05-09 275.28  260.87 272.09 275.22 280.12 281.61 295.52  297.88
2009-05-10 273.93  265.29 270.19 274.53 280.20 284.47 291.39  300.58
2009-05-11 278.32  266.92 268.88 275.95 279.93 283.36 291.45  300.36
2009-05-12 280.82  261.49 272.70 275.64 279.92 283.56 291.18  301.15
2009-05-13 284.74  265.89 271.90 276.60 280.42 282.90 292.53  303.47
2009-05-14 287.17  263.91 270.99 275.92 281.20 284.62 294.64  298.55
2009-05-15 288.23  261.70 271.35 276.94 281.71 286.72 292.79  300.18
2009-05-16 288.12  263.88 272.03 275.88 282.74 286.97 295.30  306.84
2009-05-17 286.60  267.89 272.18 278.09 284.01 286.87 299.22  307.94
2009-05-18 284.22  269.15 271.94 277.54 284.49 287.89 299.69  308.20
2009-05-19 284.60  269.80 271.24 278.83 284.31 286.79 299.45  311.62
2009-05-20 286.66  269.07 270.00 276.47 283.95 287.49 300.73  312.76
2009-05-21 291.29  266.92 270.67 274.03 283.82 288.06 300.30  310.59
2009-05-22 293.44  269.12 270.18 274.61 284.01 289.11 302.84  309.94
2009-05-23 285.41  265.35 271.04 274.57 283.63 287.82 303.03  309.97
2009-05-24 282.67  265.35 269.59 274.92 282.87 286.66 301.84  309.78
2009-05-25 280.25  263.87 269.10 276.07 282.80 287.77 302.29  308.98
2009-05-26 280.74  266.38 268.15 276.94 283.37 286.25 300.81  311.95
2009-05-27 282.06  267.35 269.97 277.65 284.03 286.92 303.41  312.99
2009-05-28 284.35  268.75 270.34 276.88 283.67 287.37 302.08  306.97
2009-05-29 285.11  268.35 269.10 276.06 283.47 288.37 300.51  307.97
2009-05-30 285.37  264.68 269.93 276.32 283.95 287.32 302.65  307.84
2009-05-31 287.48  264.39 271.13 276.51 284.62 288.79 302.53  306.42
2009-06-01 294.36  264.44 270.19 278.22 284.44 289.79 301.64  307.19
2009-06-02 299.47  264.94 269.21 280.11 284.90 291.17 301.12  310.50
2009-06-03 300.76  265.08 272.27 278.29 286.04 291.29 303.41  312.01
2009-06-04 302.97  265.05 272.82 279.75 287.16 292.05 306.14  317.74
2009-06-05 306.78  267.82 273.36 278.25 287.65 292.04 307.08  318.44
2009-06-06 307.10  264.91 271.90 279.26 287.67 293.03 305.38  327.22
2009-06-07 305.99  260.38 272.69 279.95 287.02 290.52 305.95  330.20
2009-06-08 304.91  261.30 271.43 278.98 286.86 289.69 306.00  332.33
2009-06-09 301.67  259.03 272.54 278.64 286.91 292.25 304.38  331.59
2009-06-10 300.09  258.54 268.80 278.15 285.81 289.92 302.88  334.76
2009-06-11 296.81  258.02 271.13 278.73 285.24 289.95 302.36  328.75
2009-06-12 294.71  256.19 270.49 279.56 285.07 290.92 301.12  326.87
2009-06-13 295.96  255.29 269.26 280.65 285.24 291.06 299.25  318.40
2009-06-14 297.95  254.11 271.00 277.97 285.38 291.32 298.63  318.00
2009-06-15 299.53  265.70 271.95 277.76 285.83 294.61 299.98  315.14
2009-06-16 300.45  264.04 271.70 278.36 285.74 294.04 300.56  313.21
2009-06-17 301.87  264.90 272.06 276.99 284.91 288.90 300.61  312.99
2009-06-18 306.71  261.79 271.59 278.32 285.69 290.50 301.95  315.48
2009-06-19 308.85  260.28 270.98 277.18 286.46 291.38 304.35  324.86
2009-06-20 302.41  257.64 269.77 278.45 286.61 288.89 304.27  327.14
2009-06-21 296.25  259.15 270.11 279.26 286.79 291.56 304.95  325.20
2009-06-22 295.18  260.69 269.95 279.61 286.37 291.06 305.33  325.96
2009-06-23 295.05  262.74 272.07 279.19 286.17 289.19 302.33  330.90
2009-06-24 293.76  263.00 271.38 277.86 285.97 290.81 303.45  328.27
2009-06-25 294.63  263.04 271.98 276.92 285.74 290.88 300.80  326.64
2009-06-26 291.26  264.21 271.39 276.55 285.71 290.61 303.84  318.78
2009-06-27 287.53  267.19 271.96 279.40 286.74 290.83 305.45  317.05
2009-06-28 287.08  268.41 271.80 280.86 286.96 291.81 303.77  314.90
2009-06-29 289.15  266.47 271.81 280.88 286.99 291.55 301.63  314.74
2009-06-30 291.81  265.18 273.07 281.08 287.39 292.70 301.84  316.85
2009-07-01 291.98  265.15 273.31 279.70 287.01 291.94 303.94  314.75
2009-07-02 291.45  262.45 273.48 279.35 287.29 294.57 303.10  315.60
2009-07-03 291.11  262.63 272.03 278.36 286.82 292.56 301.67  316.06
2009-07-04 290.69  265.03 272.49 279.23 286.83 292.52 302.01  316.59
2009-07-05 293.84  265.39 273.76 278.76 286.87 291.51 303.03  319.49
2009-07-06 294.75  264.49 272.32 279.83 287.01 292.45 305.06  316.73
2009-07-07 293.48  261.27 273.29 277.84 286.99 293.42 306.12  316.60
2009-07-08 291.30  260.70 274.66 279.05 286.74 291.24 305.13  315.56
2009-07-09 289.47  259.79 273.44 276.92 286.64 290.70 306.09  314.54
2009-07-10 291.27  259.66 271.95 277.20 285.84 291.61 303.81  317.92
2009-07-11 290.25  263.13 272.07 278.55 285.85 291.01 303.75  312.61
2009-07-12 290.55  263.97 269.45 276.40 284.82 291.59 302.22  310.41
2009-07-13 291.09  262.75 268.58 275.57 284.52 291.40 305.49  308.46
2009-07-14 287.39  256.86 268.30 275.77 283.99 289.95 304.74  310.36
2009-07-15 288.16  257.20 268.60 276.08 283.43 288.48 303.71  314.96
2009-07-16 288.79  255.28 268.78 274.06 284.21 289.43 303.35  333.25
2009-07-17 287.32  260.16 270.72 273.01 285.42 292.62 302.64  338.79
2009-07-18 288.42  258.91 269.85 276.14 285.97 290.72 303.17  340.41
2009-07-19 287.58  251.94 269.96 274.89 284.50 288.57 303.36  333.74
2009-07-20 284.07  249.72 270.37 275.22 284.06 286.88 304.52  324.86
2009-07-21 282.09  251.61 269.48 274.34 283.34 287.42 302.87  326.45
2009-07-22 287.03  245.59 266.53 272.08 282.46 288.28 300.85  333.09
2009-07-23 291.85  248.55 266.56 272.78 282.55 288.46 301.14  330.93
2009-07-24 294.55  245.41 266.81 271.24 280.91 286.14 299.98  329.10
