      Date    Data Minimum    10%    30%   Mean    70%    90% Maximum
2006-03-18  286.61  264.79 268.20 274.89 279.99 285.65 290.16  299.01
2006-03-19  287.20  265.33 268.18 274.51 279.89 284.78 287.83  302.53
2006-03-20  286.92  262.94 268.61 275.05 279.79 284.43 288.01  305.24
2006-03-21  285.84  263.04 268.02 274.59 279.89 285.14 287.93  306.58
2006-03-22  286.23  266.10 269.80 274.63 280.38 285.44 288.32  306.28
2006-03-23  287.11  266.46 270.21 276.35 280.64 284.60 288.34  308.58
2006-03-24  286.33  266.65 270.38 274.95 280.30 283.42 289.75  307.60
2006-03-25  285.74  265.78 271.46 276.42 280.09 282.06 289.59  306.40
2006-03-26  285.27  264.39 269.66 274.32 279.58 281.32 289.62  304.34
2006-03-27  285.53  264.38 268.79 275.65 279.31 280.48 290.50  301.80
2006-03-28  285.16  265.50 269.11 275.59 279.12 280.65 290.69  299.39
2006-03-29  285.96  264.02 269.99 275.29 279.45 282.87 290.99  300.00
2006-03-30  288.38  263.12 269.56 275.00 279.17 281.35 291.13  299.50
2006-03-31  287.78  262.37 267.92 274.46 278.68 282.04 290.55  303.74
2006-04-01  285.02  261.13 268.38 274.36 278.76 282.26 288.13  300.84
2006-04-02  283.94  264.00 268.94 275.06 278.92 282.20 289.96  298.63
2006-04-03  285.28  264.73 268.79 273.65 278.62 281.55 290.08  296.72
2006-04-04  282.36  264.19 270.62 274.22 278.62 281.65 287.86  294.89
2006-04-05  281.71  266.84 269.61 274.44 278.48 281.54 289.18  294.40
2006-04-06  283.09  265.35 270.60 273.80 278.29 282.18 288.64  294.99
2006-04-07  282.85  266.35 270.61 275.29 278.25 280.13 288.97  296.21
2006-04-08  281.88  265.41 269.31 275.79 278.04 281.05 284.43  294.63
2006-04-09  281.38  266.01 269.13 273.22 277.59 281.42 284.52  293.39
2006-04-10  278.69  265.38 269.48 272.42 277.70 282.00 287.57  291.90
2006-04-11  276.77  264.82 268.19 274.17 278.52 282.77 287.33  295.08
2006-04-12  276.06  265.21 267.97 274.87 278.48 281.55 286.62  297.39
2006-04-13  275.13  264.10 266.99 273.82 277.34 281.31 286.76  295.15
2006-04-14  275.87  263.93 267.65 272.27 276.74 280.39 284.94  295.40
2006-04-15  280.67  263.32 267.86 273.86 276.93 280.72 285.97  292.83
2006-04-16  283.55  263.92 266.89 273.85 277.26 280.66 285.09  295.15
2006-04-17  282.58  265.32 267.64 273.22 277.64 283.19 285.44  291.87
2006-04-18  283.58  263.95 268.80 273.80 278.05 282.50 289.34  294.10
2006-04-19  282.70  261.03 269.32 272.86 278.02 282.20 289.75  304.39
2006-04-20  284.78  261.48 268.21 273.60 278.67 282.43 288.96  309.36
2006-04-21  286.41  262.83 269.90 273.99 279.08 282.34 289.58  313.52
2006-04-22  285.28  267.20 270.50 273.86 279.09 282.23 287.42  310.98
2006-04-23  282.90  266.66 270.65 273.42 279.05 282.25 289.16  307.72
2006-04-24  283.49  267.85 270.39 272.65 278.56 282.19 288.10  306.52
2006-04-25  284.85  260.19 269.02 273.01 278.39 283.92 289.30  303.59
2006-04-26  281.27  256.50 268.85 272.82 278.07 282.35 289.27  303.88
2006-04-27  279.85  261.62 268.56 274.50 277.88 280.01 287.79  297.71
2006-04-28  281.11  263.19 269.66 274.86 278.92 282.43 287.74  298.72
2006-04-29  287.21  263.07 269.69 276.64 279.48 283.87 288.01  301.78
2006-04-30  290.11  262.69 269.76 274.52 279.35 283.62 290.16  299.43
2006-05-01  291.57  262.38 270.87 274.80 279.39 284.18 288.69  298.72
2006-05-02  292.61  266.59 270.50 273.88 279.97 284.70 289.82  306.81
2006-05-03  289.34  262.44 269.34 273.45 279.43 284.34 289.48  310.35
